eventid,iyear,imonth,country_txt,region_txt,city,latitude,longitude,nkill,nwound
202106110016,2021,6,India,South Asia,Aglar,33.750993,74.851444,0,0
202106110022,2021,6,Iraq,Middle East & North Africa,Babire,37.19717,43.189772,0,0
202106110024,2021,6,Nigeria,Sub-Saharan Africa,Tse-Jimin,8.150144,8.800449,6,4
202106110025,2021,6,Myanmar,Southeast Asia,Mandalay,21.974722,96.083333,0,1
202106120001,2021,6,Niger,Sub-Saharan Africa,Niamey,13.513799,2.117021,1,1
202106120004,2021,6,Afghanistan,South Asia,Jani Khel district,33.645015,69.796612,1,2
202106120006,2021,6,Afghanistan,South Asia,Nahri Saraj district,31.856718,64.556219,1,0
202106120010,2021,6,Afghanistan,South Asia,Guzara district,34.073838,62.181127,6,3
202106120011,2021,6,Afghanistan,South Asia,Arghandi,34.466712,68.916678,5,0
202106120013,2021,6,Afghanistan,South Asia,Aliabad district,36.469909,68.966596,18,18
202106120015,2021,6,Ivory Coast,Sub-Saharan Africa,Tehini,9.606881,-3.664802,3,4
202106120016,2021,6,Afghanistan,South Asia,Bost,31.501144,64.356895,8,2
202106120019,2021,6,Nigeria,Sub-Saharan Africa,Ebem,5.633885,7.829877,7,1
202106120023,2021,6,Mali,Sub-Saharan Africa,Unknown,15.799095,-0.309823,2,1
202106120037,2021,6,Afghanistan,South Asia,Salesoon,31.570816,67.03405,0,6
202106120038,2021,6,Canada,North America,Saint Johns,43.075107,-80.079905,0,0
202106120043,2021,6,Nigeria,Sub-Saharan Africa,Isihor,6.413336,5.603614,1,0
202106120044,2021,6,Democratic Republic of the Congo,Sub-Saharan Africa,Fataki,1.989165,30.565325,21,0
202106120048,2021,6,Burkina Faso,Sub-Saharan Africa,Sanmatenga district,13.558437,-1.197488,0,0
202106130001,2021,6,Afghanistan,South Asia,Lash Wa Juwayn district,31.718206,61.369286,17,0
202106130002,2021,6,Afghanistan,South Asia,Pusht Rod district,32.486945,62.058889,4,0
202106130003,2021,6,Afghanistan,South Asia,Sayyad district,36.02114,65.76095,12,8
202106130004,2021,6,Afghanistan,South Asia,Obe district,34.360566,63.250278,5,22
202106130005,2021,6,Afghanistan,South Asia,Andar district,33.316667,68.45,3,4
202106130006,2021,6,Afghanistan,South Asia,Aliabad district,36.469909,68.966596,9,0
202106130008,2021,6,Iraq,Middle East & North Africa,Nimrud,36.101389,43.3375,0,0
202106130009,2021,6,Iraq,Middle East & North Africa,Nimrud,36.101389,43.3375,0,0
202106130010,2021,6,Iraq,Middle East & North Africa,Nimrud,36.101389,43.3375,0,0
202106130011,2021,6,Iraq,Middle East & North Africa,Daoud Allouk,35.262423,43.877149,0,0
202106130014,2021,6,Nigeria,Sub-Saharan Africa,Kushe,9.765061,8.814226,12,5
202106130015,2021,6,Nigeria,Sub-Saharan Africa,Zogu,9.849939,8.683439,2,2
202106130016,2021,6,Nigeria,Sub-Saharan Africa,Odugbeho,7.799995,8.034304,2,0
202106130017,2021,6,Mozambique,Sub-Saharan Africa,Quitunda,-10.8415,40.4932,4,0
202106130019,2021,6,India,South Asia,Malkangiri district,18.15538,82.053809,0,0
202106130021,2021,6,Iraq,Middle East & North Africa,Unknown,33.717528,44.252411,0,0
202106130025,2021,6,Saudi Arabia,Middle East & North Africa,Dhahran al-Janub district,17.665225,43.517421,0,0
202106130028,2021,6,United Kingdom,Western Europe,Oldstead,54.212913,-1.188155,0,0
202106130029,2021,6,Nigeria,Sub-Saharan Africa,Tse-Girgi,7.561946,9.186668,0,0
202106130030,2021,6,Nigeria,Sub-Saharan Africa,Tse-Girgi,7.561946,9.186668,0,0
202106130031,2021,6,Nigeria,Sub-Saharan Africa,Ini district,5.386601,7.74167,1,0
202106130032,2021,6,Myanmar,Southeast Asia,Tachileik,20.447044,99.887155,1,0
202106130034,2021,6,Philippines,Southeast Asia,Bolo,15.994722,120.164444,0,1
202106130037,2021,6,Philippines,Southeast Asia,Antipolo del Sur,13.913982,121.188969,1,0
202106130038,2021,6,Democratic Republic of the Congo,Sub-Saharan Africa,Fataki,1.989165,30.565325,0,2
202106130039,2021,6,Myanmar,Southeast Asia,Kyiywa,22.650556,95.265556,2,0
202106130041,2021,6,Yemen,Middle East & North Africa,Khabb wa ash Shaaf district,17.022778,45.795556,0,0
202106130042,2021,6,Myanmar,Southeast Asia,Pakokku,21.334722,95.084167,1,0
202106140002,2021,6,Afghanistan,South Asia,Unknown,34.501233,65.756352,1,0
202106140003,2021,6,Afghanistan,South Asia,Sarwari,33.587761,69.232735,3,0
202106140016,2021,6,Nigeria,Sub-Saharan Africa,Nasarawa Burkullu,11.924012,5.645795,0,0
202106140017,2021,6,India,South Asia,Anantnag district,33.711107,75.188006,0,0
202106140020,2021,6,Nigeria,Sub-Saharan Africa,Birnin-Tudu,12.691384,6.013605,6,1
202106140036,2021,6,Afghanistan,South Asia,Khanabad district,36.681449,69.114905,14,27
202106140038,2021,6,Afghanistan,South Asia,Sai Azad,33.675278,68.421667,5,0
202106150002,2021,6,Afghanistan,South Asia,Khogyani district,34.229213,70.193208,1,1
202106150003,2021,6,Afghanistan,South Asia,Surkh Rod district,34.406427,70.359876,1,1
202106150004,2021,6,Afghanistan,South Asia,Shinwari district,35.120278,68.970555,6,8
202106150005,2021,6,Afghanistan,South Asia,Farah,32.446466,62.14541,1,0
202106150008,2021,6,Afghanistan,South Asia,Pachir Agam district,34.2,70.278054,2,0
202106150009,2021,6,Afghanistan,South Asia,Obe district,34.360566,63.250278,1,3
202106150010,2021,6,Mali,Sub-Saharan Africa,Timatene,15.916044,2.395955,16,2
202106150011,2021,6,Somalia,Sub-Saharan Africa,Mogadishu,2.00191,45.273355,26,50
202106150015,2021,6,Colombia,South America,Cucuta,7.863682,-72.507046,0,36
202106150016,2021,6,Israel,Middle East & North Africa,Shaar HaNegev regional council,31.51879,34.630533,0,0
202106150017,2021,6,Israel,Middle East & North Africa,Shaar HaNegev regional council,31.51879,34.630533,0,0
202106150018,2021,6,Israel,Middle East & North Africa,Eshkol regional council,31.296742,34.413408,0,0
202106150019,2021,6,Nigeria,Sub-Saharan Africa,Kwamdi,11.164498,12.744373,10,0
202106150031,2021,6,Cameroon,Sub-Saharan Africa,Ndian district,4.83343,9.012893,1,0
202106150032,2021,6,Yemen,Middle East & North Africa,Khora,14.614325,46.218055,0,0
202106150034,2021,6,Iraq,Middle East & North Africa,Abdul Hamid,33.849167,44.8,1,0
202106150037,2021,6,Afghanistan,South Asia,Shirin Tagab district,36.23828,64.864446,16,22
